dataSet,rows_,columns_,nonzeros_,sputnik,Sputnik_gflops,rode,ours_gflops
hugetric-00000, 5824555, 5824555, 8733523, 0.000627, 891175.845456, 1.429885,390.902446
human_gene1, 22284, 22284, 12345963, 2.685062, 294.273098, 0.277917,2843.087079
human_gene2, 14341, 14341, 9041364, 1.178352, 491.064901, 0.201862,2866.543134
HV15R, 2017170, 2017170, 283073458, 20485.408203, 0.884371, 11.154480,1624.163685
ibm_matrix_2, 51449, 51449, 1056610, 13.440112, 5.031434, 0.049392,1369.109172
igbt3, 10939, 10939, 234006, 0.616336, 24.299057, 0.018666,802.352142
in-2004, 1382909, 1382909, 16917053, 9671.562500, 0.111946, 0.916662,1181.123371
inlet, 11731, 11731, 328323, 0.710614, 29.569725, 0.023187,906.218575
inline_1, 503713, 503713, 18660027, 1284.006348, 0.930090, 1.386042,861.620382
ins2, 309413, 309413, 1530448, 484.321960, 0.202239, 0.113280,864.659900
italy_osm, 6686494, 6686494, 7013978, 0.000698, 643484.217110, 1.449030,309.789631
jan99jac120sc, 41375, 41375, 260202, 8.682192, 1.918056, 0.023888,697.125270
juba40k, 40338, 40338, 144945, 8.254490, 1.123810, 0.022832,406.292918
k3plates, 11108, 11108, 378927, 0.639722, 37.909191, 0.037712,643.066630
kim1, 38416, 38416, 933195, 7.493744, 7.969912, 0.043312,1378.936053
kkt_power, 2063495, 2063495, 8130343, 21532.892578, 0.024165, 0.698032,745.441403
kron_g500-logn16, 65537, 65537, 2456398, 21.784496, 7.216576, 0.098000,1604.178254
kron_g500-logn17, 131073, 131073, 5114375, 87.013931, 3.761697, 0.194893,1679.487391
kron_g500-logn18, 262145, 262145, 10583222, 347.811127, 1.947397, 0.412768,1640.936886
kron_g500-logn19, 524289, 524289, 21781478, 1390.690063, 1.002391, 0.907370,1536.324967
kron_g500-logn20, 1048577, 1048577, 44620272, 5561.533203, 0.513473, 1.964445,1453.691906
laminar_duct3D, 67174, 67174, 3833077, 22.944408, 10.691795, 0.207043,1184.858687
language, 399131, 399131, 1216334, 805.787720, 0.096608, 0.122938,633.210496
largebasis, 440021, 440021, 5560100, 979.468140, 0.363306, 0.277562,1282.044811
ldoor, 952204, 952204, 23737339, 4586.667969, 0.331219, 1.873981,810.675204
lhr34, 35153, 35153, 764014, 6.281917, 7.783754, 0.049789,982.086255
lhr34c, 35153, 35153, 764014, 6.281456, 7.784325, 0.049606,985.697315
lhr71, 70305, 70305, 1528092, 25.069239, 3.901111, 0.098790,989.953344
lhr71c, 70305, 70305, 1528092, 25.074202, 3.900339, 0.099162,986.247569
li, 22696, 22696, 1350309, 2.647024, 32.647901, 0.077754,1111.456946
ljournal-2008, 5363261, 5363261, 79023142, 0.000992, 5098267.175109, 5.738778,881.281954
Long_Coup_dt0, 1470153, 1470153, 44279572, 10932.623047, 0.259214, 3.389833,835.997594
Long_Coup_dt6, 1470153, 1470153, 44279572, 10932.626953, 0.259214, 3.388701,836.277004
lowThrust_10, 18261, 18261, 116074, 1.700291, 4.369096, 0.015267,486.581452
lowThrust_11, 18369, 18369, 117002, 1.722246, 4.347884, 0.015421,485.586207
lowThrust_12, 18459, 18459, 117423, 1.736330, 4.328137, 0.015219,493.788909
lowThrust_13, 18477, 18477, 117580, 1.741328, 4.321483, 0.014550,517.176168
lowThrust_4, 13563, 13563, 84240, 0.940723, 5.731080, 0.011955,450.963592
lowThrust_5, 16263, 16263, 103701, 1.351187, 4.911876, 0.012685,523.213936
lowThrust_6, 16929, 16929, 108376, 1.464099, 4.737428, 0.013712,505.838997
lowThrust_7, 17379, 17379, 110607, 1.542179, 4.590159, 0.014064,503.331038
lowThrust_8, 17703, 17703, 113139, 1.599267, 4.527634, 0.014406,502.616635
lowThrust_9, 18045, 18045, 114806, 1.659930, 4.426443, 0.015270,481.165128
lp1, 534389, 534389, 1088904, 1444.338989, 0.048250, 0.133258,522.970953
luxembourg_osm, 114600, 114600, 119666, 66.476616, 0.115208, 0.026909,284.614104
m14b, 214766, 214766, 1679018, 233.409515, 0.460380, 0.110032,976.599115
mario001, 38435, 38435, 114643, 7.498694, 0.978457, 0.015350,477.977906
mario002, 389875, 389875, 1167685, 768.882935, 0.097195, 0.127798,584.763492
mark3jac040sc, 18290, 18290, 113435, 1.706269, 4.254804, 0.016067,451.842279
mark3jac060sc, 27450, 27450, 170695, 3.830192, 2.852202, 0.018883,578.529063
me2010, 69519, 69519, 167738, 24.475098, 0.438619, 0.027699,387.564705
memplus, 17759, 17759, 126150, 1.606838, 5.024525, 0.016342,494.027805
mip1, 66464, 66464, 5209641, 22.477369, 14.833454, 0.174752,1907.943999
ML_Laplace, 377003, 377003, 27689972, 719.641785, 2.462556, 1.548115,1144.719886
mouse_gene, 45102, 45102, 14506196, 10.587145, 87.690924, 0.367718,2524.748605
msc10848, 10849, 10849, 620313, 0.614262, 64.630413, 0.031610,1255.948541
msc23052, 23053, 23053, 588933, 2.714739, 13.884100, 0.046093,817.735364
msdoor, 415864, 415864, 10328399, 875.096863, 0.755365, 0.804314,821.840592
m_t1, 97579, 97579, 4925574, 48.342560, 6.520895, 0.354224,889.936155
mult_dcop_01, 25188, 25188, 193276, 3.228093, 3.831880, 0.017478,707.711442
mult_dcop_02, 25188, 25188, 193276, 3.228208, 3.831743, 0.017350,712.932518
mult_dcop_03, 25188, 25188, 193216, 3.228211, 3.830550, 0.017498,706.715410
NACA0015, 1039184, 1039184, 3114818, 5461.430664, 0.036501, 0.335296,594.544359
nasasrb, 54871, 54871, 1366097, 15.272753, 5.724588, 0.068368,1278.817696
nd12k, 36001, 36001, 7128473, 6.744378, 67.644826, 0.204954,2225.978340
nd24k, 72001, 72001, 14393817, 26.642630, 34.576327, 0.437034,2107.856870
nd6k, 18001, 18001, 3457658, 1.728147, 128.050505, 0.099158,2231.682957
net100, 29921, 29921, 1031560, 4.565606, 14.460257, 0.059200,1115.199986
net125, 36721, 36721, 1306960, 6.864915, 12.184482, 0.074874,1117.155277
net150, 43521, 43521, 1582360, 9.638198, 10.507259, 0.092586,1093.809843
net4-1, 88344, 88344, 1265035, 39.540733, 2.047565, 0.099318,815.178682
