dataSet,rows_,columns_,nonzeros_,sputnik,Sputnik_gflops,cusparse,cuSPARSE_gflops,rode,ours_gflops
G3_circuit, 1585479, 1585479, 4623152, 5.586525, 423.707732, 3.332499, 710.293867, 2.331664, 1015.177889
Ga10As10H30, 113082, 113082, 3114357, 0.717222, 2223.230582, 0.515005, 3096.186390, 0.310451, 5136.236536
Ga19As19H42, 133124, 133124, 4508981, 0.932048, 2476.909114, 0.707411, 3263.446058, 0.439562, 5252.047138
Ga3As3H12, 61350, 61350, 3016148, 0.499165, 3093.703152, 0.432016, 3574.561607, 0.283251, 5451.937466
Ga41As41H72, 268097, 268097, 9378286, 1.996426, 2405.139647, 1.442538, 3328.635907, 0.926058, 5185.079528
GaAsH6, 61350, 61350, 1721579, 0.395603, 2228.112512, 0.283002, 3114.641330, 0.173334, 5085.248335
gas_sensor, 66918, 66918, 885141, 0.340560, 1330.726399, 0.198477, 2283.350923, 0.118262, 3832.090324
Ge87H76, 112986, 112986, 4002590, 0.833773, 2457.895234, 0.633466, 3235.102517, 0.411210, 4983.653503
Ge99H100, 112986, 112986, 4282190, 0.867779, 2526.542907, 0.669062, 3276.945771, 0.439424, 4989.443746
gearbox, 153747, 153747, 4617075, 1.134202, 2084.234720, 0.687747, 3437.225809, 0.610256, 3873.689703
Geo_1438, 1437961, 1437961, 32297325, 15.120771, 1093.610209, 5.084573, 3252.235823, 3.449210, 4794.208628
gridgena, 48963, 48963, 280523, 0.179414, 800.536486, 0.120832, 1188.656758, 0.071222, 2016.609587
gsm_106857, 589447, 589447, 11174185, 5.648694, 1012.832787, 4.274784, 1338.355950, 3.449613, 1658.499965
gupta1, 31803, 31803, 1098006, 0.184179, 3052.348342, 0.152710, 3681.341052, 0.131418, 4277.806684
gupta2, 62065, 62065, 2155175, 0.394627, 2796.182394, 0.276960, 3984.148014, 0.278045, 3968.603678
gupta3, 16784, 16784, 4670105, 1.045130, 2287.844296, 0.693315, 3448.783023, 0.604310, 3956.730998
gyro, 17362, 17362, 519260, 0.110630, 2403.146948, 0.097562, 2725.059100, 0.058858, 4517.022636
gyro_k, 17362, 17362, 519260, 0.108906, 2441.207030, 0.095568, 2781.905203, 0.058310, 4559.411588
gyro_m, 17362, 17362, 178896, 0.071328, 1284.134550, 0.064333, 1423.764401, 0.030966, 2957.875270
H2O, 67025, 67025, 1141880, 0.353293, 1654.838598, 0.228515, 2558.440623, 0.136691, 4277.104575
halfb, 224618, 224618, 6306219, 1.804957, 1788.842867, 0.947920, 3406.177741, 0.835933, 3862.492324
Hamrle3, 1447361, 1447361, 5514242, 5.741722, 491.715210, 3.487613, 809.519856, 2.682496, 1052.486874
hangGlider_4, 15562, 15562, 79088, 0.201984, 200.476552, 0.040054, 1010.951537, 0.036602, 1106.319285
hangGlider_5, 16012, 16012, 82070, 0.217859, 192.876136, 0.040515, 1037.137685, 0.037530, 1119.645303
helm2d03, 392258, 392258, 1567096, 1.657933, 483.947918, 0.820422, 977.975721, 0.612349, 1310.287795
